192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1340 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?562 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?355 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1028 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1058 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?227 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1043 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1037 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1196 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?238 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1308 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1457 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?733 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1499 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?211 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1648 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?205 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?999 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?784 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1398 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?623 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1438 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1043 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:47 +0000] "GET /?615 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.57.3 - - [29/May/2021:15:30:47 +0000] "GET /?616 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.3; rv:36.0) Gecko/20100101 Firefox/36.0"
